Feature,Mean_Absolute_SHAP
Init Bwd Win Bytes,0.04980545347685896
Fwd IAT Min,0.0363339359461073
Init Fwd Win Bytes,0.02547798117033127
Packet Length Max,0.025341172114418633
Fwd IAT Std,0.02204591689332842
Flow Bytes/s,0.021344070820019805
Fwd Header Length,0.018221328272743333
Bwd Header Length,0.01760408690055049
Flow IAT Std,0.016184248410210562
Subflow Fwd Bytes,0.01381592259918457
Packet Length Mean,0.013737301982247522
Fwd Seg Size Min,0.01364872448664372
Flow Duration,0.013122008917826089
Flow IAT Max,0.012869998234323408
Fwd IAT Mean,0.01197830038478544
Fwd IAT Max,0.01177427396212404
Flow IAT Min,0.01170537224894718
Flow Packets/s,0.011651221274939939
Flow IAT Mean,0.011449836397665296
Avg Packet Size,0.011223462595170165
Fwd Packets/s,0.011208499175964804
Fwd Packet Length Max,0.010849218967202983
Bwd Packets/s,0.010718763012279016
Fwd IAT Total,0.01016471633373074
Fwd Packet Length Mean,0.009885811608862483
Fwd Packets Length Total,0.008493942132831394
Subflow Fwd Packets,0.008229240750769477
Total Fwd Packets,0.007948893662023582
Subflow Bwd Packets,0.007117505261614733
Avg Fwd Segment Size,0.007048557570354226
Total Backward Packets,0.006689198187438536
Bwd IAT Mean,0.005995477997713546
Bwd IAT Max,0.005873322268159176
PSH Flag Count,0.005705260632849915
Fwd Packet Length Std,0.00485836984815871
Bwd IAT Total,0.004854754517903959
Subflow Bwd Bytes,0.004482612511445267
Bwd Packets Length Total,0.004423891319673498
URG Flag Count,0.004274243223458197
Packet Length Variance,0.004127681765829062
Bwd Packet Length Max,0.004003793961428171
Bwd Packet Length Mean,0.003911250766453856
Bwd IAT Min,0.0038929088676836533
Avg Bwd Segment Size,0.003804781871607462
Bwd Packet Length Std,0.003007614792295688
Fwd Act Data Packets,0.0024399173621970677
Down/Up Ratio,0.0023533316400424107
ACK Flag Count,0.0018081623752507193
Bwd IAT Std,0.0017907450040099038
Packet Length Std,0.0016055378308093863
Idle Min,0.0015689026101984307
Idle Mean,0.0013005828806654256
Active Max,0.0010574249466130115
Idle Max,0.0009165528262671926
Active Min,0.0007549996447470019
Packet Length Min,0.000695873863210218
Active Mean,0.0006856912006645074
Fwd Packet Length Min,0.00046541971442329956
Bwd Packet Length Min,0.0001911787982700765
Active Std,4.6111448633545034e-05
Fwd PSH Flags,7.876011055728985e-06
Idle Std,3.6510921353449783e-06
SYN Flag Count,1.8454911183951128e-06
Protocol,3.178980863696308e-07
ECE Flag Count,0.0
FIN Flag Count,0.0
RST Flag Count,0.0
